,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Ruiz, Esteury]",-0.754,0.15,-1.043,-0.478,0.001,0.002,14889.0,5988.0,1.0
"alpha[Sánchez, Jesús]",-0.978,0.167,-1.298,-0.67,0.001,0.002,13855.0,6124.0,1.0
"alpha[Gallo, Joey]",-0.87,0.209,-1.253,-0.465,0.002,0.003,13342.0,5895.0,1.0
"alpha[McCutchen, Andrew]",-0.878,0.206,-1.266,-0.496,0.002,0.003,12749.0,5858.0,1.0
"alpha[Madris, Bligh]",-0.916,0.211,-1.312,-0.523,0.002,0.003,13638.0,6140.0,1.0
"alpha[Crook, Narciso]",-0.925,0.208,-1.299,-0.522,0.002,0.003,16518.0,5880.0,1.0
"alpha[Kwan, Steven]",-0.958,0.21,-1.345,-0.552,0.002,0.003,15084.0,5314.0,1.0
"alpha[Lopez, Otto]",-0.914,0.216,-1.326,-0.493,0.002,0.003,15501.0,5925.0,1.0
"alpha[Lee, Khalil]",-0.902,0.212,-1.296,-0.493,0.002,0.003,14994.0,5729.0,1.0
"alpha[Swaggerty, Travis]",-0.926,0.21,-1.347,-0.544,0.002,0.003,13561.0,5573.0,1.0
"alpha[Strange-Gordon, Dee]",-0.89,0.215,-1.315,-0.494,0.002,0.003,14414.0,5495.0,1.0
"alpha[Lewis, Royce]",-0.896,0.216,-1.32,-0.498,0.002,0.003,16261.0,5345.0,1.0
"alpha[Hicklen, Brewer]",-0.897,0.21,-1.301,-0.498,0.002,0.003,15254.0,5770.0,1.0
"alpha[Blanco, Dairon]",-0.983,0.19,-1.363,-0.646,0.002,0.002,13504.0,5830.0,1.0
"alpha[Edman, Tommy]",-0.799,0.163,-1.114,-0.504,0.001,0.002,12552.0,5882.0,1.0
"alpha[Heyward, Jason]",-0.797,0.186,-1.156,-0.461,0.002,0.002,14068.0,5364.0,1.0
"alpha[Whitefield, Aaron]",-0.877,0.209,-1.28,-0.487,0.002,0.003,17257.0,5692.0,1.0
"alpha[González, Luis]",-0.819,0.214,-1.214,-0.406,0.002,0.003,16392.0,5225.0,1.0
"alpha[McDonald, Mickey]",-0.905,0.214,-1.303,-0.498,0.002,0.003,14458.0,5402.0,1.0
"alpha[Muzziotti, Símon]",-0.851,0.207,-1.242,-0.462,0.002,0.003,13682.0,5417.0,1.0
"alpha[Rojas, Johan]",-0.658,0.136,-0.911,-0.4,0.001,0.001,11441.0,6502.0,1.0
"alpha[Frelick, Sal]",-0.783,0.183,-1.138,-0.449,0.001,0.002,15746.0,5671.0,1.0
